order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,Date,product_id,quantity,customer_id,customer_name,address,area,pincode,customer_segment,product_name,category,brand,price,Total_Sale,margin_percentage,feedback_id,rating,feedback_text,feedback_category,sentiment,delivery_partner_id,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed,stock_received,damaged_stock,Img,Emoji,Star
7171106490,45835229,17/08/23 15:46,17/08/23 15:59,17/08/23 15:57,On Time,922.44,Cash,2312,9321628569,17/08/23,324022,3,45835229,Zansi Hora,"H.No. 88, Mitter
North Dumdum-787991",Rajkot,826821,Regular,recusandae ad,Grocery & Staples,Babu Inc,922.44,2767.32,15,7054828,5,Quam nulla eligendi rerum sit. Architecto soluta maxime ut.,Delivery,Positive,2312,-2,1.49,On Time,,2,0,https://i.postimg.cc/jSc7fmbs/grocery.png,https://i.postimg.cc/XYyRxCCx/star.png,_____
3829771237,25578646,23/11/23 23:46,24/11/23 0:05,24/11/23 0:08,On Time,4154.91,Cash,87568,1297200837,23/11/23,312434,1,25578646,Urmi Seshadri,"33
Rau Circle
Ozhukarai-950280",Nagpur,829840,Inactive,doloremque accusamus,Household Care,"Banik, Wadhwa and Mittal",955.16,955.16,25,9923412,5,Numquam voluptate fugit illo nisi inventore incidunt earum. Cum veniam eos.,App Experience,Positive,87568,3,4.08,On Time,Traffic,1,1,https://i.postimg.cc/1tnnLzNt/cleaning-tools.png,https://i.postimg.cc/XYyRxCCx/star.png,_____
1316777473,52002897,16/12/23 13:15,16/12/23 13:34,16/12/23 14:01,Significantly Delayed,1861.67,Cash,43840,309610785,16/12/23,170243,3,52002897,Nachiket Devan,"60
Dugar Zila, Thane 099674",Kanpur,213528,New,sunt beatae,Snacks & Munchies,"Bath, Mitra and Deshpande",371.51,1114.53,35,7709233,2,"Nostrum excepturi odio soluta id.
Facilis nobis consectetur in. Architecto ut similique velit.",Customer Service,Negative,43840,27,0.95,Significantly Delayed,Traffic,2,0,https://i.postimg.cc/CKP7Ydrp/snacks.png,https://i.postimg.cc/zGbrMQ9C/sad.png,__
7511736375,68604506,12/06/23 14:40,12/06/23 14:54,12/06/23 15:03,Slightly Delayed,3615.89,UPI,53285,1783577265,12/06/23,687682,2,68604506,Balveer Tandon,"92, Buch Marg, Visakhapatnam 014906",Sambalpur,257024,Inactive,dolores quia,Grocery & Staples,Ben LLC,497.09,994.18,15,6342798,3,Corrupti excepturi asperiores odio modi veritatis aperiam nihil. Eaque ut voluptate.,Product Quality,Neutral,53285,9,2.46,Slightly Delayed,Traffic,1,1,https://i.postimg.cc/jSc7fmbs/grocery.png,https://i.postimg.cc/d02zccny/confused.png,___
1069569617,89748638,29/12/23 8:59,29/12/23 9:15,29/12/23 9:34,Significantly Delayed,3043.32,Cash,29913,5592231657,29/12/23,175100,1,89748638,Victor Khosla,"H.No. 99
Baria Marg, Danapur 223541",Ghaziabad,849942,Inactive,voluptates repellendus,Baby Care,"Patel, Dubey and Dhar",265.86,265.86,30,6254418,1,Modi asperiores est exercitationem. Animi ex itaque blanditiis illum quibusdam.,Product Quality,Negative,29913,19,4,Significantly Delayed,Traffic,0,1,https://i.postimg.cc/k55tvsJW/feeding.png,https://i.postimg.cc/15zP0XBY/angry.png,_
9687670406,69884896,20/08/23 2:58,20/08/23 3:16,20/08/23 3:22,Slightly Delayed,1652.04,Wallet,76792,9510121423,20/08/23,59935,1,69884896,Chakrika Butala,"12, Solanki Marg, Jalna 712668",Dehri,99142,Premium,nemo libero,Instant & Frozen Food,Apte-Patla,762.51,762.51,40,89228,3,"Officiis illum eius alias sequi.
Iusto ab cum.",Delivery,Neutral,76792,6,0.72,Slightly Delayed,Traffic,2,0,https://i.postimg.cc/1RVwdvpH/ice-cream.png,https://i.postimg.cc/d02zccny/confused.png,___
4088350993,27277351,11/05/23 18:50,11/05/23 19:06,11/05/23 19:08,On Time,2260.79,Wallet,53085,7810814002,11/05/23,216286,2,27277351,Lavanya Sarma,"393
Bail Circle, Bareilly 524866",Anantapuram,438676,New,eos enim,Pet Care,"Ranganathan, Gulati and Prakash",582.64,1165.28,35,6766418,4,A consequuntur modi vero itaque repellat recusandae. Sequi aperiam nostrum.,Product Quality,Positive,53085,2,3.49,On Time,Traffic,0,1,https://i.postimg.cc/FRMdmQjx/pet-food.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
2779255026,33425377,15/06/23 4:36,15/06/23 4:54,15/06/23 5:01,Slightly Delayed,1646.51,Card,92429,9984479521,15/06/23,159869,2,33425377,Yagnesh Bala,"391
Sur Street
Naihati 380490",Bahraich,765888,Inactive,ut dolorum,Grocery & Staples,Walla PLC,564.18,1128.36,15,159100,3,Earum vel ducimus esse. Necessitatibus exercitationem ipsam vel dolore nemo.,Delivery,Neutral,92429,7,1.19,Slightly Delayed,Traffic,1,1,https://i.postimg.cc/jSc7fmbs/grocery.png,https://i.postimg.cc/d02zccny/confused.png,___
3144468812,40010392,19/10/23 14:20,19/10/23 14:30,19/10/23 14:33,On Time,280.32,UPI,12333,5487618348,19/10/23,534922,1,40010392,Rushil Zacharia,"873
Bhandari Nagar, Gopalpur-800743",Bhopal,494594,Regular,blanditiis non,Baby Care,"Hegde, Prashad and Sachar",280.32,280.32,30,8535442,4,Sunt quis velit voluptate dolore neque eaque accusantium.,Customer Service,Positive,12333,3,3.54,On Time,Traffic,2,1,https://i.postimg.cc/k55tvsJW/feeding.png,https://i.postimg.cc/X7XSGhNR/smile.png,____
5025845984,15121021,11/03/23 23:38,11/03/23 23:50,11/03/23 23:50,On Time,1744.13,Wallet,10083,9977590417,11/03/23,985029,3,15121021,Tanmayi Bal,"38/21
Wali Street, Raurkela Industrial Township 745645",Kulti,377257,Premium,reprehenderit non,Household Care,Chadha Inc,272.33,816.99,25,2190738,5,Officia aspernatur quasi et maxime deserunt non. Illum itaque eligendi commodi consequuntur.,App Experience,Positive,10083,0,2.75,On Time,,2,1,https://i.postimg.cc/1tnnLzNt/cleaning-tools.png,https://i.postimg.cc/XYyRxCCx/star.png,_____
